address,district,street,house_number,coords,area,full_price,weighted_price,lat,lon
Свердловская область;Екатеринбург;район Чкаловский;Миасская ул.,Екатеринбург,район Чкаловский,Миасская ул.,"56.785682,60.651716",61.4,4568160,74400,56.785682,60.651716
Свердловская область;Екатеринбург;район Верх-Исетский;Заводская ул.,Екатеринбург,район Верх-Исетский,Заводская ул.,"56.822203,60.550899",67.6,4596800,68000,56.822203,60.550899
Свердловская область;Екатеринбург;район Кировский;ул. Владимира Высоцкого;д.1,район Кировский,ул. Владимира Высоцкого,д.1,"56.843608,60.674976",60.7,4606000,75918,56.843608,60.674976
Свердловская область;Екатеринбург;район Орджоникидзевский;Эльмаш мкр;пер. Цветочный;д.15,Эльмаш мкр,пер. Цветочный,д.15,"56.899478,60.624814",60.3,4609125,76500,56.899478,60.624814
Свердловская область;Екатеринбург;район Верх-Исетский;Суходольская ул.,Екатеринбург,район Верх-Исетский,Суходольская ул.,"56.791054,60.486782",75.3,4630000,61487,56.791054,60.486782
Свердловская область;Екатеринбург;район Чкаловский;ул. Гастелло;д.25,район Чкаловский,ул. Гастелло,д.25,"56.782927,60.647289",74.7,4640000,62115,56.782927,60.647289
Свердловская область;Екатеринбург;район Чкаловский;ул. Гастелло;д.25,район Чкаловский,ул. Гастелло,д.25,"56.782927,60.647289",73.7,4630000,62822,56.782927,60.647289
Свердловская область;Екатеринбург;район Орджоникидзевский;ул. Калинина;д.8,район Орджоникидзевский,ул. Калинина,д.8,"56.890368,60.607607",53.9,4600000,85343,56.890368,60.607607
Свердловская область;Екатеринбург;район Кировский;ул. Блюхера;д.97,район Кировский,ул. Блюхера,д.97,"56.865080,60.666497",73.3,4638952,63287,56.865080,60.666497
Свердловская область;Екатеринбург;район Чкаловский;Миасская ул.,Екатеринбург,район Чкаловский,Миасская ул.,"56.785682,60.651716",63.3,4646220,73400,56.785682,60.651716
Свердловская область;Екатеринбург;район Чкаловский;ул. Гастелло;д.25,район Чкаловский,ул. Гастелло,д.25,"56.782927,60.647289",64.7,4630000,71561,56.782927,60.647289
Свердловская область;Екатеринбург;район Верх-Исетский;Суходольская ул.,Екатеринбург,район Верх-Исетский,Суходольская ул.,"56.791054,60.486782",79.6,4690000,58919,56.791054,60.486782
Свердловская область;Екатеринбург;район Орджоникидзевский;Симбирский пер.,Екатеринбург,район Орджоникидзевский,Симбирский пер.,"56.896561,60.582612",44.2,3503040,79236,56.896561,60.582612
Свердловская область;Екатеринбург;район Кировский;Пионерский мкр;ул. Сулимова,район Кировский,Пионерский мкр,ул. Сулимова,"56.859832,60.650756",49.0,3584093,73100,56.859832,60.650756
Свердловская область;Екатеринбург;район Ленинский;Академический мкр;ул. Павла Шаманова,район Ленинский,Академический мкр,ул. Павла Шаманова,"56.785161,60.521739",55.3,3550000,64195,56.785161,60.521739
Свердловская область;Екатеринбург;район Октябрьский;ул. Большакова;д.22к4,район Октябрьский,ул. Большакова,д.22к4,"56.821622,60.629023",48.0,3580000,74583,56.821622,60.629023
Свердловская область;Екатеринбург;район Железнодорожный;Вокзальный мкр;пер. Выездной;д.2,Вокзальный мкр,пер. Выездной,д.2,"56.856043,60.582185",46.6,3600000,77253,56.856043,60.582185
