address,district,street,house_number,coords,area,full_price,weighted_price,lat,lon
Москва;район Раменки;Мосфильмовская ул.;д.88к2с5,район Раменки,Мосфильмовская ул.,д.88к2с5,"55.704935,37.492105",80.0,37000000,462500,55.704935,37.492105
Москва;район Пресненский;ул. Сергея Макеева;д.9С6,район Пресненский,ул. Сергея Макеева,д.9С6,"55.762206,37.550989",83.4,38000000,455417,55.762206,37.550989
Москва;район Некрасовка;Люберецкие Поля мкр;13-й кв-л;д.к5,Люберецкие Поля мкр,13-й кв-л,д.к5,"55.702982,37.948844",57.7,6182555,107150,55.702982,37.948844
Москва;район Некрасовка;Рождественская ул.;д.33,район Некрасовка,Рождественская ул.,д.33,"55.703185,37.931713",59.4,8212102,138250,55.703185,37.931713
Москва;район Пресненский;1-й Красногвардейский проезд;д.21с2,район Пресненский,1-й Красногвардейский проезд,д.21с2,"55.749380,37.534092",185.0,99099579,535673,55.749380,37.534092
Москва;район Некрасовка;ул. Вертолетчиков;д.13,район Некрасовка,ул. Вертолетчиков,д.13,"55.704017,37.940921",65.2,8194560,125683,55.704017,37.940921
Москва;район Южное Бутово;ул. Поляны;д.5,район Южное Бутово,ул. Поляны,д.5,"55.557592,37.554690",73.7,10755000,145929,55.557592,37.554690
Москва;район Некрасовка;Люберецкие Поля мкр;13-й кв-л;д.к2,Люберецкие Поля мкр,13-й кв-л,д.к2,"55.704159,37.945916",58.0,6360013,109655,55.704159,37.945916
Москва;район Некрасовка;ул. Вертолетчиков;д.4к6,район Некрасовка,ул. Вертолетчиков,д.4к6,"55.702784,37.946625",60.3,6891444,114285,55.702784,37.946625
Москва;район Некрасовка;ул. Вертолетчиков;д.4к6,район Некрасовка,ул. Вертолетчиков,д.4к6,"55.702784,37.946625",60.3,6879264,114083,55.702784,37.946625
Москва;район Некрасовка;ул. Вертолетчиков;д.4к6,район Некрасовка,ул. Вертолетчиков,д.4к6,"55.702784,37.946625",60.3,6867084,113881,55.702784,37.946625
Москва;район Некрасовка;ул. Вертолетчиков;д.4к6,район Некрасовка,ул. Вертолетчиков,д.4к6,"55.702784,37.946625",60.5,6891444,113908,55.702784,37.946625
Москва;район Южное Бутово;ул. Поляны;д.5,район Южное Бутово,ул. Поляны,д.5,"55.557592,37.554690",72.2,7809000,108157,55.557592,37.554690
Москва;район Некрасовка;Люберецкие Поля мкр;13-й кв-л;д.к7,Люберецкие Поля мкр,13-й кв-л,д.к7,"55.701516,37.948898",62.6,6479060,103499,55.701516,37.948898
Москва;район Южное Бутово;Чечерский проезд;д.46,район Южное Бутово,Чечерский проезд,д.46,"55.534408,37.531038",59.0,8800000,149152,55.534408,37.531038
Москва;район Дмитровский;ул. Софьи Ковалевской;д.20,район Дмитровский,ул. Софьи Ковалевской,д.20,"55.887968,37.537101",62.2,11640000,187138,55.887968,37.537101
Москва;район Дмитровский;ул. Софьи Ковалевской;д.20,район Дмитровский,ул. Софьи Ковалевской,д.20,"55.887968,37.537101",65.8,11750000,178571,55.887968,37.537101
Москва;район Беговой;ул. 1-я Ямского Поля;д.24,район Беговой,ул. 1-я Ямского Поля,д.24,"55.782309,37.584847",90.0,35000000,388888,55.782309,37.584847
Москва;район Можайский;ул. Козлова;д.34,район Можайский,ул. Козлова,д.34,"55.717928,37.447584",79.0,35000000,443037,55.717928,37.447584
Москва;район Пресненский;наб. Пресненская;д.6с2,район Пресненский,наб. Пресненская,д.6с2,"55.748143,37.540488",220.9,80742996,365518,55.748143,37.540488
Москва;район Пресненский;наб. Пресненская;д.8с1,район Пресненский,наб. Пресненская,д.8с1,"55.747115,37.539078",108.5,65000000,599078,55.747115,37.539078
Москва;район Пресненский;наб. Пресненская;д.12,район Пресненский,наб. Пресненская,д.12,"55.749511,37.537083",135.9,89707200,660000,55.749511,37.537083
Москва;район Пресненский;наб. Пресненская;д.8с1,район Пресненский,наб. Пресненская,д.8с1,"55.747115,37.539078",106.2,91379580,860448,55.747115,37.539078
Москва;район Некрасовка;ул. Вертолетчиков;д.13,район Некрасовка,ул. Вертолетчиков,д.13,"55.704017,37.940921",60.9,6393000,104975,55.704017,37.940921
Москва;район Некрасовка;ул. Вертолетчиков;д.13,район Некрасовка,ул. Вертолетчиков,д.13,"55.704017,37.940921",60.8,6382000,104967,55.704017,37.940921
Москва;район Пресненский;ул. Сергея Макеева;д.9к3,район Пресненский,ул. Сергея Макеева,д.9к3,"55.762100,37.550064",110.6,42000000,379746,55.762100,37.550064
Москва;район Обручевский;Ленинский просп.;д.111к1,район Обручевский,Ленинский просп.,д.111к1,"55.661328,37.509343",128.0,42000000,328125,55.661328,37.509343
Москва;район Раменки;ул. Пудовкина;д.7Б,район Раменки,ул. Пудовкина,д.7Б,"55.726918,37.528307",110.0,42500000,386363,55.726918,37.528307
Москва;район Щукино;ул. Расплетина;д.21,район Щукино,ул. Расплетина,д.21,"55.798257,37.481990",112.0,42500000,379464,55.798257,37.481990
Москва;район Щукино;Авиационная ул.;д.77,район Щукино,Авиационная ул.,д.77,"55.807982,37.450845",127.3,43500000,341712,55.807982,37.450845
Москва;район Щукино;Авиационная ул.;д.77,район Щукино,Авиационная ул.,д.77,"55.807982,37.450845",127.0,43500000,342519,55.807982,37.450845
Москва;район Пресненский;ул. Сергея Макеева;д.9к3,район Пресненский,ул. Сергея Макеева,д.9к3,"55.762100,37.550064",93.6,43500000,464743,55.762100,37.550064
Москва;район Раменки;Ломоносовский просп.;д.25к5,район Раменки,Ломоносовский просп.,д.25к5,"55.692008,37.530939",93.2,43850000,470493,55.692008,37.530939
Москва;район Басманный;Малый Казенный пер.;д.8,район Басманный,Малый Казенный пер.,д.8,"55.760464,37.654026",131.0,43900000,335114,55.760464,37.654026
Москва;район Раменки;Мосфильмовская ул.;д.88к4с3,район Раменки,Мосфильмовская ул.,д.88к4с3,"55.703454,37.489509",118.0,44500000,377118,55.703454,37.489509
Москва;район Щукино;ул. Расплетина;д.21,район Щукино,ул. Расплетина,д.21,"55.798257,37.481990",120.0,44500000,370833,55.798257,37.481990
