address,district,street,house_number,coords,area,full_price,weighted_price,lat,lon,is_correct,distr
Свердловская область;Екатеринбург;район Октябрьский;Луганская ул.,Екатеринбург,Машинная ул., 29Д,"56.807962,60.638341",52.8,3770634,71400,56.807962,60.638341,1,Автовокзал
Свердловская область;Екатеринбург;район Ленинский;ул. Чкалова;д.252,район Ленинский,ул. Чкалова,д.252,"56.780349,60.533065",60.2,3800000,63122,56.780349,60.533065,1,УНЦ
Свердловская область;Екатеринбург;район Чкаловский;Химмаш мкр;ул. Зои Космодемьянской;д.44/2,Химмаш мкр,ул. Зои Космодемьянской,д.44/2,"56.750914,60.705849",54.0,3800000,70370,56.750914,60.705849,1,Химмаш
Свердловская область;Екатеринбург;район Чкаловский;Рощинская ул.;д.65,район Чкаловский,Рощинская ул.,д.65,"56.777272,60.676742",57.0,3850000,67543,56.777272,60.676742,1,Уктус
Свердловская область;Екатеринбург;район Чкаловский;ул. Счастливая,Екатеринбург,Улица Счастливая, д. 10,"56.749519,60.564728",52.9,3865500,73071,56.74951899999999,60.564728,1,Солнечный
Свердловская область;Екатеринбург;район Кировский;Генеральская ул.;д.12,район Кировский,Генеральская ул.,д.12,"56.843437,60.635994",55.0,3850000,70000,56.843437,60.635994,1,Втузгородок
Свердловская область;Екатеринбург;район Ленинский;Академический мкр;просп. Академика Сахарова;д.31,Академический мкр,просп. Академика Сахарова,д.31,"56.773504,60.536362",56.0,3900000,69642,56.773504,60.536362,1,УНЦ
Свердловская область;Екатеринбург;район Верх-Исетский;Заводская ул.,Екатеринбург,ул. Начдива Васильева, 14,"56.822203,60.550899",57.5,4025000,70000,56.822203,60.550899,1,Улица
Свердловская область;Екатеринбург;район Верх-Исетский;Заводская ул.;д.75,район Верх-Исетский,Заводская ул.,д.75,"56.823991,60.552244",56.0,4025000,71875,56.82399100000001,60.552244,1,Юго-Западный
Свердловская область;Екатеринбург;район Орджоникидзевский;бул. Культуры;д.5,район Орджоникидзевский,бул. Культуры,д.5,"56.887443,60.586219",56.4,4150000,73581,56.88744300000001,60.58621899999999,1,Уралмаш
Свердловская область;Екатеринбург;район Верх-Исетский;Опалихинская ул.,Екатеринбург,Опалихинская ул., 23а,"56.852402,60.562387",55.8,4190000,75156,56.85240200000001,60.562387,1,unknown
Свердловская область;Екатеринбург;район Чкаловский;ул. Гастелло;д.25,район Чкаловский,ул. Гастелло,д.25,"56.782927,60.647289",64.4,4220000,65527,56.782927,60.647289,1,Уктус
Свердловская область;Екатеринбург;район Ленинский;ул. Шейнкмана;д.130,район Ленинский,ул. Шейнкмана,д.130,"56.818134,60.589776",53.2,4299000,80808,56.81813399999999,60.589776,1,Центр
Свердловская область;Екатеринбург;район Кировский;ул. Владимира Высоцкого;д.1,район Кировский,ул. Владимира Высоцкого,д.1,"56.843608,60.674976",59.6,4371000,73302,56.843608,60.674976,1,ЖБИ
Свердловская область;Екатеринбург;район Чкаловский;Миасская ул.;д.22,район Чкаловский,Миасская ул.,д.22,"56.786289,60.651010",59.5,4350000,73170,56.786289,60.65101,1,unknown
Свердловская область;Екатеринбург;район Кировский;Пионерский мкр;ул. Данилы Зверева,район Кировский,ул. Данилы Зверева, 17А,"56.863410,60.652391",60.8,4513000,74226,56.86341,60.652391,1,unknown
Свердловская область;Екатеринбург;район Кировский;Пионерский мкр;ул. Ирбитская,район Кировский,Ирбитская ул., 11А,"56.861891,60.656715",74.2,4644000,62570,56.861891,60.65671500000001,1,Екатеринбург
Свердловская область;Екатеринбург;район Орджоникидзевский;ул. 22-го Партсъезда;д.3,район Орджоникидзевский,ул. 22-го Партсъезда,д.3,"56.886046,60.581008",65.0,2890000,44461,56.88604599999999,60.581008,1,Уралмаш
Свердловская область;Екатеринбург;район Чкаловский;Химмаш мкр;ул. Альпинистов;д.24А,Химмаш мкр,ул. Альпинистов,д.24А,"56.757140,60.705515",56.0,2850000,50892,56.75714,60.70551500000001,1,Химмаш
Свердловская область;Екатеринбург;район Железнодорожный;Новая Сортировка мкр;ул. Софьи Перовской;д.113,Новая Сортировка мкр,ул. Софьи Перовской,д.113,"56.863818,60.553897",64.4,2850000,44254,56.863818,60.553897,1,Новая Сортировка
Свердловская область;Екатеринбург;район Орджоникидзевский;ул. 22-го Партсъезда;д.3,район Орджоникидзевский,ул. 22-го Партсъезда,д.3,"56.886046,60.581008",65.1,2890000,44393,56.88604599999999,60.581008,1,Уралмаш
Свердловская область;Екатеринбург;район Железнодорожный;Артинская ул.;д.36А,район Железнодорожный,Артинская ул.,д.36А,"56.865894,60.583164",57.1,2850000,49912,56.865894,60.583164,1,Завокзальный
Свердловская область;Екатеринбург;район Чкаловский;Химмаш мкр;ул. Косарева;д.19,Химмаш мкр,ул. Косарева,д.19,"56.749772,60.707985",57.0,2850000,50000,56.749772,60.707985,1,Химмаш
Свердловская область;Екатеринбург;район Октябрьский;Латвийская ул.;д.44,район Октябрьский,Латвийская ул.,д.44,"56.795776,60.770481",59.0,2890000,48983,56.795776,60.770481,1,Компрессорный
Свердловская область;Екатеринбург;район Железнодорожный;Конотопская ул.;д.2А,район Железнодорожный,Конотопская ул.,д.2А,"56.867287,60.575816",70.0,2850000,40714,56.867287,60.575816,1,Завокзальный
Свердловская область;Екатеринбург;район Кировский;ЖБИ мкр;ул. Панельная;д.11,ЖБИ мкр,ул. Панельная,д.11,"56.833540,60.690306",54.0,2850000,52777,56.83354,60.69030600000001,1,ЖБИ
Свердловская область;Екатеринбург;район Чкаловский;Химмаш мкр;ул. Грибоедова;д.15,Химмаш мкр,ул. Грибоедова,д.15,"56.753666,60.696882",55.0,2850000,51818,56.753666,60.696882,1,Химмаш
