address,district,street,house_number,coords,area,full_price,weighted_price,lat,lon,is_correct,distr
Санкт-Петербург;район Центральный;Литейный просп.;д.49,район Центральный,Литейный просп.,д.49,"59.937729,30.347866",163.6,15850000,96882,59.937729,30.347866,1,"МО №79 ""Литейный"""
Санкт-Петербург;район Центральный;Таврическая ул.;д.2,район Центральный,Таврическая ул.,д.2,"59.942047,30.377349",116.0,15800000,136206,59.942047,30.377349,1,"МО №80 ""Смольнинское"""
Санкт-Петербург;район Адмиралтейский;Почтамтская ул.;д.13,район Адмиралтейский,Почтамтская ул.,д.13,"59.931751,30.299878",140.0,15800000,112857,59.931751,30.299878000000003,1,"МО №3 ""Адмиралтейский"""
Санкт-Петербург;район Петроградский;Гатчинская ул.;д.1,район Петроградский,Гатчинская ул.,д.1,"59.960881,30.302807",189.0,15800000,83597,59.96088100000001,30.302807,1,"МО №62 ""Петровский"""
Санкт-Петербург;район Петроградский;просп. Большой Петроградской стороны;д.80,район Петроградский,просп. Большой Петроградской стороны,д.80,"59.963971,30.308619",178.0,15890000,89269,59.963971,30.308619,1,"МО №61 ""Аптекарский остров"""
Санкт-Петербург;район Адмиралтейский;Почтамтская ул.;д.13,район Адмиралтейский,Почтамтская ул.,д.13,"59.931751,30.299878",140.0,15800000,112857,59.931751,30.299878000000003,1,"МО №3 ""Адмиралтейский"""
Санкт-Петербург;район Адмиралтейский;наб. Реки Фонтанки;д.129,район Адмиралтейский,наб. Реки Фонтанки,д.129,"59.919581,30.306391",176.0,16000000,90909,59.91958100000001,30.306391,1,"МО №2 ""Сенной"""
Санкт-Петербург;район Приморский;ул. Савушкина;д.121к1,район Приморский,ул. Савушкина,д.121к1,"59.986601,30.224258",167.0,15900000,95209,59.986601,30.224258000000006,1,МО №65
Санкт-Петербург;район Петроградский;ул. Куйбышева;д.21,район Петроградский,ул. Куйбышева,д.21,"59.956340,30.331023",204.0,16000000,78431,59.95634,30.331023,1,"МО №60 ""Посадский"""
Санкт-Петербург;район Василеостровский;20-я Васильевского острова линия;д.13,район Василеостровский,20-я Васильевского острова линия,д.13,"59.933248,30.267368",154.5,15900000,102939,59.933248,30.267368,1,МО №7
Санкт-Петербург;район Центральный;ул. Пестеля;д.6,район Центральный,ул. Пестеля,д.6,"59.942750,30.342755",161.4,15990000,99070,59.94275,30.342755,1,"МО №79 ""Литейный"""
Санкт-Петербург;район Петроградский;ул. Куйбышева;д.19,район Петроградский,ул. Куйбышева,д.19,"59.956201,30.330717",178.5,16000000,89635,59.956201,30.330717,1,"МО №60 ""Посадский"""
Санкт-Петербург;район Центральный;ул. Пестеля;д.6,район Центральный,ул. Пестеля,д.6,"59.942750,30.342755",161.0,16000000,99378,59.94275,30.342755,1,"МО №79 ""Литейный"""
Санкт-Петербург;район Петроградский;Кронверкская ул.;д.29/37Б,район Петроградский,Кронверкская ул.,д.29/37Б,"59.962179,30.310137",171.8,15930000,92724,59.962179000000006,30.310137,1,"МО №59 ""Кронверкское"""
Санкт-Петербург;район Адмиралтейский;пер. Бринько;д.1-3-5,район Адмиралтейский,пер. Бринько,д.1-3-5,"59.925637,30.316344",158.0,15950000,100949,59.925637,30.316344,1,"МО №2 ""Сенной"""
Санкт-Петербург;район Невский;Шлиссельбургский просп.;д.34К3,район Невский,Шлиссельбургский просп.,д.34К3,"59.834411,30.516812",210.4,16180000,76901,59.834411,30.516812,1,"МО №52 ""Рыбацкое"""
Санкт-Петербург;район Невский;Шлиссельбургский просп.;д.34К3,район Невский,Шлиссельбургский просп.,д.34К3,"59.834411,30.516812",210.4,16150000,76758,59.834411,30.516812,1,"МО №52 ""Рыбацкое"""
Санкт-Петербург;район Петроградский;ул. Кропоткина;д.17Б,район Петроградский,ул. Кропоткина,д.17Б,"59.958994,30.307145",150.0,16100000,107333,59.958994,30.307145,1,Улица
Санкт-Петербург;район Невский;Шлиссельбургский просп.;д.34К3,район Невский,Шлиссельбургский просп.,д.34К3,"59.834411,30.516812",210.4,16150000,76758,59.834411,30.516812,1,"МО №52 ""Рыбацкое"""
Санкт-Петербург;пос. Парголово;район Выборгский;ул. Тихоокеанская,пос. Парголово,ул. Первого Мая, 77А,"60.073929,30.242998",61.3,3373462,55032,60.07392900000001,30.242998,1,"МО ""п. Парголово"""
Санкт-Петербург;пос. Парголово;район Выборгский;ул. Тихоокеанская,пос. Парголово,ул. Первого Мая, 77А,"60.073929,30.242998",64.5,3549564,55032,60.07392900000001,30.242998,1,"МО ""п. Парголово"""
Санкт-Петербург;пос. Парголово;район Выборгский;ул. Тихоокеанская,пос. Парголово,ул. Первого Мая, 77А,"60.073929,30.242998",64.5,3549564,55032,60.07392900000001,30.242998,1,"МО ""п. Парголово"""
Санкт-Петербург;пос. Парголово;район Выборгский;ул. Тихоокеанская,пос. Парголово,ул. Первого Мая, 77А,"60.073929,30.242998",65.3,3591500,55000,60.07392900000001,30.242998,1,"МО ""п. Парголово"""
Санкт-Петербург;пос. Парголово;район Выборгский;ул. Тихоокеанская,пос. Парголово,ул. Первого Мая, 77А,"60.073929,30.242998",65.3,3591500,55000,60.07392900000001,30.242998,1,"МО ""п. Парголово"""
Санкт-Петербург;пос. Парголово;район Выборгский;ул. Тихоокеанская,пос. Парголово,ул. Первого Мая, 77А,"60.073929,30.242998",65.3,3591500,55000,60.07392900000001,30.242998,1,"МО ""п. Парголово"""
Санкт-Петербург;пос. Парголово;район Выборгский;ул. Тихоокеанская,пос. Парголово,ул. Первого Мая, 77А,"60.073929,30.242998",70.6,3741800,53000,60.07392900000001,30.242998,1,"МО ""п. Парголово"""
Санкт-Петербург;пос. Парголово;район Выборгский;ул. Тихоокеанская,пос. Парголово,ул. Первого Мая, 77А,"60.073929,30.242998",70.6,3741800,53000,60.07392900000001,30.242998,1,"МО ""п. Парголово"""
Санкт-Петербург;район Красногвардейский;просп. Маршала Блюхера;д.63к2,район Красногвардейский,просп. Маршала Блюхера,д.63к2,"59.972703,30.430367",45.0,3700000,82222,59.972703,30.430367,1,"МО №32 ""Полюстрово"""
Санкт-Петербург;пос. Парголово;район Выборгский;ул. Тихоокеанская,пос. Парголово,ул. Первого Мая, 77А,"60.073929,30.242998",71.1,3768300,53000,60.07392900000001,30.242998,1,"МО ""п. Парголово"""
Санкт-Петербург;пос. Парголово;район Выборгский;ул. Тихоокеанская,пос. Парголово,ул. Первого Мая, 77А,"60.073929,30.242998",71.1,3768300,53000,60.07392900000001,30.242998,1,"МО ""п. Парголово"""
Санкт-Петербург;район Невский;ул. Бабушкина;д.101к1,район Невский,ул. Бабушкина,д.101к1,"59.868288,30.450553",45.0,3840000,85333,59.868288,30.450553000000006,1,"МО №51 ""Обуховский"""
Санкт-Петербург;пос. Парголово;район Выборгский;ул. Тихоокеанская,пос. Парголово,ул. Первого Мая, 77А,"60.073929,30.242998",73.7,3906100,53000,60.07392900000001,30.242998,1,"МО ""п. Парголово"""
Санкт-Петербург;пос. Парголово;район Выборгский;ул. Тихоокеанская,пос. Парголово,ул. Первого Мая, 77А,"60.073929,30.242998",73.7,3906100,53000,60.07392900000001,30.242998,1,"МО ""п. Парголово"""
Санкт-Петербург;пос. Парголово;район Выборгский;ул. Тихоокеанская,пос. Парголово,ул. Первого Мая, 77А,"60.073929,30.242998",73.7,3906100,53000,60.07392900000001,30.242998,1,"МО ""п. Парголово"""
Санкт-Петербург;пос. Парголово;район Выборгский;ул. Тихоокеанская,пос. Парголово,ул. Первого Мая, 77А,"60.073929,30.242998",74.5,3948500,53000,60.07392900000001,30.242998,1,"МО ""п. Парголово"""
Санкт-Петербург;пос. Парголово;район Выборгский;ул. Тихоокеанская,пос. Парголово,ул. Первого Мая, 77А,"60.073929,30.242998",74.3,3937900,53000,60.07392900000001,30.242998,1,"МО ""п. Парголово"""
Санкт-Петербург;пос. Шушары;район Пушкинский;ул. Валдайская;д.6к2,район Пушкинский,ул. Валдайская,д.6к2,"59.802418,30.377609",62.9,3996000,63529,59.802418,30.377609000000003,1,д. Нижняя
Санкт-Петербург;Пушкин;район Пушкинский;ул. Камероновская,Пушкин,Сапёрная ул., 59,"59.700119,30.399675",38.9,3989088,102600,59.700119,30.399675,1,"МО ""г. Пушкин"""
Санкт-Петербург;район Калининский;Брюсовская ул.;д.24,район Калининский,Брюсовская ул.,д.24,"59.987420,30.414108",45.4,4079000,89845,59.98741999999999,30.414108,1,"МО №22 ""Пискарёвка"""
Санкт-Петербург;Красное Село;район Красносельский;ул. Первого Мая,Красное Село,ул. Первого Мая, 3,"59.731785,30.100267",57.2,4117680,72000,59.731785,30.100267,1,"МО ""г. Красное Село"""
Санкт-Петербург;район Фрунзенский;ул. Белы Куна;д.17К1,район Фрунзенский,ул. Белы Куна,д.17К1,"59.874774,30.393770",45.0,4200000,93333,59.874774,30.39377,1,МО №72
Санкт-Петербург;пос. Металлострой;район Колпинский;Садовая ул.;д.18,район Колпинский,Садовая ул.,д.18,"59.814699,30.572041",46.1,4349000,94338,59.814699,30.572041,1,unknown
