address,district,street,house_number,coords,area,full_price,weighted_price,lat,lon,is_correct
Москва;район Южное Бутово;ул. Поляны;д.5,район Южное Бутово,ул. Поляны,д.5,"55.557592,37.554690",72.2,7809000,108157,55.55759200000001,37.55469,1
Москва;район Некрасовка;Люберецкие Поля мкр;13-й кв-л;д.к7,Люберецкие Поля мкр,13-й кв-л,д.к7,"55.701516,37.948898",62.6,6479060,103499,55.701516000000005,37.948898,1
Москва;район Южное Бутово;Чечерский проезд;д.46,район Южное Бутово,Чечерский проезд,д.46,"55.534408,37.531038",59.0,8800000,149152,55.534408,37.531038,1
Москва;район Дмитровский;ул. Софьи Ковалевской;д.20,район Дмитровский,ул. Софьи Ковалевской,д.20,"55.887968,37.537101",62.2,11640000,187138,55.88796800000001,37.537101,1
Москва;район Дмитровский;ул. Софьи Ковалевской;д.20,район Дмитровский,ул. Софьи Ковалевской,д.20,"55.887968,37.537101",65.8,11750000,178571,55.88796800000001,37.537101,1
Москва;район Беговой;ул. 1-я Ямского Поля;д.24,район Беговой,ул. 1-я Ямского Поля,д.24,"55.782309,37.584847",90.0,35000000,388888,55.782309,37.584846999999996,1
Москва;район Можайский;ул. Козлова;д.34,район Можайский,ул. Козлова,д.34,"55.717928,37.447584",79.0,35000000,443037,55.717928,37.447584,1
Москва;район Пресненский;наб. Пресненская;д.6с2,район Пресненский,наб. Пресненская,д.6с2,"55.748143,37.540488",220.9,80742996,365518,55.748143000000006,37.540488,1
Москва;район Пресненский;наб. Пресненская;д.8с1,район Пресненский,наб. Пресненская,д.8с1,"55.747115,37.539078",108.5,65000000,599078,55.747115,37.539078,1
Москва;район Пресненский;наб. Пресненская;д.12,район Пресненский,наб. Пресненская,д.12,"55.749511,37.537083",135.9,89707200,660000,55.749511,37.537083,1
Москва;район Пресненский;наб. Пресненская;д.8с1,район Пресненский,наб. Пресненская,д.8с1,"55.747115,37.539078",106.2,91379580,860448,55.747115,37.539078,1
Москва;район Некрасовка;ул. Вертолетчиков;д.13,район Некрасовка,ул. Вертолетчиков,д.13,"55.704017,37.940921",60.9,6393000,104975,55.70401700000001,37.940921,1
